"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"YZNC2F5I","journalArticle","2006","Ensign, Scott H.; Doyle, Martin W.","Nutrient spiraling in streams and river networks","Journal of Geophysical Research","","","10.1029/2005jg000114","","[1]Over the past 3 decades, nutrient spiraling has become a unifying paradigm for stream biogeochemical research. This paper presents (1) a quantitative synthesis of the nutrient spiraling literature and (2) application of these data to elucidate trends in nutrient spiraling within stream networks. Results are based on 404 individual experiments on ammonium (NH4), nitrate (NO3), and phosphate (PO4) from 52 published studies. Sixty-nine percent of the experiments were performed in first- and second-order streams, and 31% were performed in third- to fifth-order streams. Uptake lengths, Sw, of NH4 (median = 86 m) and PO4 (median = 96 m) were significantly different (α = 0.05) than NO3 (median = 236 m). Areal uptake rates of NH4 (median = 28 μg m−2 min−1) were significantly different than NO3 and PO4 (median = 15 and 14 μg m−2 min−1, respectively). There were significant differences among NH4, NO3, and PO4 uptake velocity (median = 5, 1, and 2 mm min−1, respectively). Correlation analysis results were equivocal on the effect of transient storage on nutrient spiraling. Application of these data to a stream network model showed that recycling (defined here as stream length ÷ Sw) of NH4 and NO3 generally increased with stream order, while PO4 recycling remained constant along a first- to fifth-order stream gradient. Within this hypothetical stream network, cumulative NH4 uptake decreased slightly with stream order, while cumulative NO3 and PO4 uptake increased with stream order. These data suggest the importance of larger rivers to nutrient spiraling and the need to consider how stream networks affect nutrient flux between terrestrial and marine ecosystems.","2006","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AS7AZ54W","journalArticle","2015","Fasching, Christina; Behounek, Barbara; Singer, Gabriel; Battin, Tom J.","Microbial degradation of terrigenous dissolved organic matter and potential consequences for carbon cycling in brown-water streams","Scientific Reports","","","10.1038/srep04981","","Streams receive substantial terrestrial deliveries of dissolved organic matter (DOM). The chromophoric (CDOM) fraction of terrestrial deliveries confers the brown colour to streamwater, often understood as browning, and plays a central role in aquatic photochemistry and is generally considered resistant to microbial metabolism. To assess the relevance of terrigenous DOM for carbon fluxes mediated by stream microorganisms, we determined the bioavailable fraction of DOM and microbial carbon use efficiency (CUE), and related these measures to partial pressure of CO2 in headwater streams spanning across a browning gradient. Fluorescence and absorbance analyses revealed high molecular weight and aromaticity, and elevated contributions from humic-like components to characterize terrestrial CDOM. We found that microorganisms metabolized this material at the cost of low CUE and shifted its composition (from fluorescence and absorbance) towards less aromatic and low-molecular weight compounds. Respiration (from CUE) was related to CO2 supersaturation in streams and this relationship was modulated by DOM composition. Our findings imply that terrigenous DOM is respired by microorganisms rather than incorporated into their biomass, and that this channelizes terrigenous carbon to the pool of CO2 potentially outgassing from streams into the atmosphere. This finding may gain relevance as major terrigenous carbon stores become mobilized and browning progresses.","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 24828296 PMCID: 4021337","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELS8IEKG","journalArticle","1981","Newbold, J. Denis; Elwood, J. W.; O'Neill, R. V.; Winkle, Webster Van; Winkle, Webster Van","Measuring Nutrient Spiralling in Streams","Canadian Journal of Fisheries and Aquatic Sciences","","","10.1139/f81-114","","Nutrient cycling in streams involves some downstream transport before the cycle is completed. Thus, the path traveled by a nutrient atom in passing through the cycle can be visualized as a spiral. As an index of the spiralling process, we introduce spiralling length, defined as the average distance associated with one complete cycle of a nutrient atom. This index provides a measure of the utilization of nutrients relative to the available supply from upstream. Using 32P as a tracer, we estimated a spiralling length of 193m for phosphorus in a small woodland stream.Key words: downstream transport, nutrient cycling, phosphorus, spiralling, stream","1981","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IXWA9XTZ","journalArticle","2015","Kellerman, Anne M.; Kothawala, Dolly N.; Dittmar, Thorsten; Tranvik, Lars J.","Persistence of dissolved organic matter in lakes related to its molecular characteristics","Nature Geoscience","","","10.1038/ngeo2440","","Organic matter’s molecular structure has been thought to influence its decomposition. Analyses of dissolved organic carbon in Swedish lakes found that aliphatic and N-containing compounds persisted, while oxidized aromatic compounds were lost.","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"58RQ73U7","journalArticle","2013","Ward, Nicholas D.; Keil, Richard G.; Medeiros, Patricia M.; Brito, Daimio C.; Cunha, Alan Cavalcanti da; Dittmar, Thorsten; Yager, Patricia L.; Krusche, Alex V.; Richey, Jeffrey E.","Degradation of terrestrially derived macromolecules in the Amazon River","Nature Geoscience","","","10.1038/ngeo1817","","Temperate and tropical rivers serve as a substantial source of carbon dioxide to the atmosphere. Organic matter measurements in the Amazon River suggest that terrestrial macromolecules contribute significantly to this outgassing.","2013","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88VTCZP4","journalArticle","2015","Bengtsson, Mia M.; Wagner, Karoline; Burns, Nancy R.; Herberg, Erik R.; Herberg, Erik R.; Wanek, Wolfgang; Kaplan, Louis A.; Battin, Tom J.","No evidence of aquatic priming effects in hyporheic zone microcosms","Scientific Reports","","","10.1038/srep05187","","The priming effect refers to quantitative changes in microbial decomposition of recalcitrant organic matter upon addition of labile organic matter and is a phenomenon that mainly has been reported and debated in soil science. Recently, priming effects have been indicated in aquatic ecosystems and have received attention due to the potential significance for ecosystem carbon budgets. Headwater stream biofilms, which are important degraders of both allochthonous, presumably recalcitrant, organic matter and labile autochthonous organic matter, may be sites where priming effects are important in aquatic environments. We have experimentally tested for priming effects in stream biofilms within microcosms mimicking the stream hyporheic zone. A 13C labeled model allochthonous carbon source was used in combination with different carbon sources simulating autochthonous inputs. We did not detect changes in respiration, removal or incorporation of allochthonous organic matter in response to autochthonous treatments, thus not supporting the occurrence of priming effects under the experimental conditions. This study is the first to address priming effects in the hyporheic zone, and one of very few studies quantitatively assessing aquatic priming effects. The results contrast with existing studies, which highlights the need for quantitative approaches to determine the importance of priming effects in aquatic environments.","2015","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 24898319 PMCID: 4046132","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TGCVVTFM","journalArticle","2005","Cory, Rose M.; McKnight, Diane M.","Fluorescence spectroscopy reveals ubiquitous presence of oxidized and reduced quinones in dissolved organic matter.","Environmental Science & Technology","","","10.1021/es0506962","","Excitation−emission matrixes (EEMs) of 379 dissolved organic matter (DOM) samples from diverse aquatic environments were modeled by parallel factor analysis (PARAFAC). Thirteen components likely representing groups of similarly fluorescing moieties were found to explain the variation in this data set. Seven of the thirteen components were identified as quinone-like based on comparison of their excitation and emission spectra to spectra of model quinones. These quinone-like fluorophores were found to vary in redox state and degree of conjugation. Two components were identified as amino acid-like based on comparison to tyrosine and tryptophan fluorescence spectra. The other four components are not yet associated with any class of molecules. The quinone-like fluorophores account for about 50% of the fluorescence for every sample analyzed, showing that quinone-like fluorophores are an important and ubiquitous fluorescing moiety and in natural waters. Further, the distribution of the quinone-like fluorophores ...","2005","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: 16294847 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7LH98PTH","journalArticle","1982","Meybeck, Michel; Meybeck, Michel; Meybeck, Michel","Carbon, nitrogen, and phosphorus transport by world rivers","American Journal of Science","","","10.2475/ajs.282.4.401","","null","1982","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JC8ZIR6W","journalArticle","1992","Qualls, Robert G.; Haines, Bruce L.","Biodegradability of Dissolved Organic Matter in Forest Throughfall, Soil Solution, and Stream Water","Soil Science Society of America Journal","","","10.2136/sssaj1992.03615995005600020038x","","null","1992","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DA9KIXSM","journalArticle","2014","Guenet, Bertrand; Danger, Michael; Harrault, Loïc Charles Pierre; Allard, Béatrice; Jauset-Alcala, Marta; Bardoux, Gérard; Benest, Danielle; Abbadie, Luc; Lacroix, Gérard","Fast mineralization of land-born C in inland waters: first experimental evidences of aquatic priming effect","Hydrobiologia","","","10.1007/s10750-013-1635-1","","In the context of global change, eroded soil carbon fate and its impact on aquatic ecosystems CO2 emissions are subject to intense debates. In particular, soil carbon mineralization could be enhanced by its interaction with autochthonous carbon, a process called priming effect, but experimental evidences of this process are scarce. We measured in a microcosm experiment simulating oligo-mesotrophic and eutrophic aquatic conditions how quickly soil organic matter (SOM) sampled in diverse ecosystems was mineralized as compared to mineralization within soil horizons. For both nutrient loads, 13C-glucose was added to half of the microcosms to simulate exudation of labile organic matter (LOM) by phytoplankton. Effects of LOM on soil mineralization were estimated using the difference in δ13C between the SOM and the glucose. After 45 days of incubation, the mean SOM mineralization was 63% greater in the aquatic context, the most important CO2 fluxes arising during the first days of incubation. Nutrients had no significant effect on SOM mineralization and glucose addition increased by 12% the mean SOM mineralization, evidencing the occurrence of a priming effect.","2014","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KVZ6RV79","journalArticle","2012","Cory, Rose M.; Kaplan, Louis A.","Biological lability of streamwater fluorescent dissolved organic matter","Limnology and Oceanography","","","10.4319/lo.2012.57.5.1347","","We investigated the biological lability of fluorescent dissolved organic matter (FDOM) from a temperate Piedmont stream. Plug-flow bioreactors, colonized and maintained with natural stream water, were used to determine the concentrations of stream-water biodegradable dissolved organic carbon (BDOC) and relative concentrations of FDOM within operationally defined biodegradability classes. Labile molecules with turnover times of hours are metabolized within the stream reach where they originated; semi-labile molecules with turnover times of days travel out of the reach and are transported downstream before being metabolized; and a more recalcitrant class with a longer but undetermined turnover time flows through the river network without being metabolized. Between 26% and 31% of the DOC was biodegradable, with 8.6% labile and the balance semi-labile. Humic-like FDOM was a proxy for more recalcitrant DOM, exhibiting a ± 2% change as a function of increased bioreactor residence time. Humic-like FDOM represents only the more recalcitrant and perhaps the more hydrophobic constituents and not the ecologically important semi-labile humic substances within the BDOC pool. Tyrosine-like and tryptophan-like FDOM constituents included not only labile DOM, but also semi-labile, and more recalcitrant moieties. For example, 13% of the tryptophan-like FDOM was labile, 14% was semi-labile, and 73% was more recalcitrant, while tyrosine-like FDOM was 100% biodegraded and the majority (44–69%) was classified as labile. Collectively our results challenge some previous assessments of FDOM lability classifications and highlight the need to connect fluorescence characteristics of DOM to residence times of different carbon pools that spiral through a river network.","2012","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3GD3QJN6","journalArticle","2013","Hall, Robert O.; Hall, Robert O.; Hall, Robert O.; Baker, Michelle A.; Rosi-Marshall, Emma J.; Tank, Jennifer L.; Newbold, J. D.","Solute-specific scaling of inorganic nitrogen and phosphorus uptake in streams","Biogeosciences","","","10.5194/bg-10-7323-2013","","Stream ecosystem processes such as nutrient cycling may vary with stream position in the network. Using a scaling approach, we examined the relationship between stream size and nutrient uptake length, which represents the mean distance that a dissolved solute travels prior to removal from the water column. Ammonium (NH 4 + ) uptake length increased proportionally with stream size measured as specific discharge (discharge/stream width) with a scaling exponent = 1.01. In contrast, uptake lengths for nitrate (NO 3 − ) and soluble reactive phosphorus (SRP) increased more rapidly than increases in specific discharge (scaling exponents = 1.19 for NO 3 − and 1.35 for SRP). Additionally, the ratio of inorganic nitrogen (N) uptake length to SRP uptake length declined with stream size; there was relatively lower demand for SRP compared to N as stream size increased. Finally, we related the scaling of uptake length with specific discharge to that of stream length using Hack's law and downstream hydraulic geometry. Ammonium uptake length increased less than proportionally with distance from the headwaters, suggesting a strong role for larger streams and rivers in regulating nutrient transport.","2013","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NNTGFMYG","journalArticle","1982","Kaplan, Louis A.; Bott, Thomas L.","Diel fluctuations of DOC generated by algae in a piedmont stream1","Limnology and Oceanography","","","10.4319/lo.1982.27.6.1091","","trations increased during a single day by as much as 40% of the daily minimum. These measurements were made during periods of constant discharge and were not related to volume of flow or changes in groundwater DOC concentrations. Laboratory and microcosm experiments suggested that benthic algae excreted most of the DOM and that bacterial uptake modified its concentration and composition. When the diel pulse was strongest, net algal DOC excretion accounted for 20% of the total DOC exported from the watershed that day. Additional data show that the 14C method of measuring algal excretion is quantitatively and qualitatively inaccurate for periphyton incubated for 2-4 h. Each spring and autumn, when the deciduous tree canopy is bare, algal blooms with maximum densities approaching 100","1982","2023-03-04 18:52:04","2023-03-04 18:52:04","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FMR6R632","journalArticle","2009","Tranvik, Lars J.; Downing, John A.; Cotner, James B.; Loiselle, Steven Arthur; Striegl, Robert G.; Striegl, Robert G.; Striegl, Robert G.; Ballatore, Thomas J.; Dillon, Peter J.; Finlay, Kerri; Fortino, Kenneth; Knoll, Lesley B.; Kortelainen, Pirkko; Kutser, Tiitt; Larsen, Søren; Laurion, Isabelle; Leech, Dina M.; McCallister, S. Leigh; McKnight, Diane M.; Melack, John M.; Overholt, Erin P.; Porter, Jason A.; Porter, Jason A.; Prairie, Yves T.; Renwick, William H.; Roland, Fábio; Sherman, Bradford S.; Schindler, David W.; Sobek, Sebastian; Sobek, Sebastian; Tremblay, Alain; Tremblay, Alain; Vanni, Michael J.; Verschoor, Antoine M.; Wachenfeldt, Eddie von; Weyhenmeyer, Gesa A.","Lakes and reservoirs as regulators of carbon cycling and climate","Limnology and Oceanography","","","10.4319/lo.2009.54.6_part_2.2298","","We explore the role of lakes in carbon cycling and global climate, examine the mechanisms influencing carbon pools and transformations in lakes, and discuss how the metabolism of carbon in the inland waters is likely to change in response to climate. Furthermore, we project changes as global climate change in the abundance and spatial distribution of lakes in the biosphere, and we revise the estimate for the global extent of carbon transformation in inland waters. This synthesis demonstrates that the global annual emissions of carbon dioxide from inland waters to the atmosphere are similar in magnitude to the carbon dioxide uptake by the oceans and that the global burial of organic carbon in inland water sediments exceeds organic carbon sequestration on the ocean floor. The role of inland waters in global carbon cycling and climate forcing may be changed by human activities, including construction of impoundments, which accumulate large amounts of carbon in sediments and emit large amounts of methane to the atmosphere. Methane emissions are also expected from lakes on melting permafrost. The synthesis presented here indicates that (1) inland waters constitute a significant component of the global carbon cycle, (2) their contribution to this cycle has significantly changed as a result of human activities, and (3) they will continue to change in response to future climate change causing decreased as well as increased abundance of lakes as well as increases in the number of aquatic impoundments.","2009","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HCJRGPEP","journalArticle","2013","Regnier, Pierre; Friedlingstein, Pierre; Ciais, Philippe; Mackenzie, Fred T.; Gruber, Nicolas; Janssens, Ivan A.; Laruelle, Goulven Gildas; Lauerwald, Ronny; Luyssaert, Sebastiaan; Andersson, Andreas J.; Arndt, Sandra; Arnosti, Carol; Arnosti, Carol; Arnosti, Carol; Borges, Alberto; Dale, Andrew W.; Gallego-Sala, Angela V.; Goddéris, Yves; Goossens, Nicolas; Hartmann, Jens; Heinze, Christoph; Ilyina, Tatiana; Joos, Fortunat; LaRowe, Douglas E.; Leifeld, Jens; Leifeld, Jens; Meysman, Filip J. R.; Meysman, Filip J. R.; Meysman, Filip J. R.; Munhoven, Guy; Raymond, Peter A.; Spahni, Renato; Suntharalingam, Parvadha; Thullner, Martin","Anthropogenic perturbation of the carbon fluxes from land to ocean","Nature Geoscience","","","10.1038/ngeo1830","","A substantial amount of the atmospheric carbon taken up on land through photosynthesis and chemical weathering is transported laterally along the aquatic continuum from upland terrestrial ecosystems to the ocean. So far, global carbon budget estimates have implicitly assumed that the transformation and lateral transport of carbon along this aquatic continuum has remained unchanged since pre-industrial times. A synthesis of published work reveals the magnitude of present-day lateral carbon fluxes from land to ocean, and the extent to which human activities have altered these fluxes. We show that anthropogenic perturbation may have increased the flux of carbon to inland waters by as much as 1.0 Pg C yr−1 since pre-industrial times, mainly owing to enhanced carbon export from soils. Most of this additional carbon input to upstream rivers is either emitted back to the atmosphere as carbon dioxide ( 0.4 Pg C yr−1) or sequestered in sediments ( 0.5 Pg C yr−1) along the continuum of freshwater bodies, estuaries and coastal waters, leaving only a perturbation carbon input of 0.1 Pg C yr−1 to the open ocean. According to our analysis, terrestrial ecosystems store 0.9 Pg C yr−1 at present, which is in agreement with results from forest inventories but significantly differs from the figure of 1.5 Pg C yr−1 previously estimated when ignoring changes in lateral carbon fluxes. We suggest that carbon fluxes along the land–ocean aquatic continuum need to be included in global carbon dioxide budgets.","2013","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8SXA7GL2","journalArticle","2014","Hotchkiss, Erin R.; Hall, Robert O.; Baker, Michelle A.; Rosi-Marshall, Emma J.; Tank, Jennifer L.","Modeling priming effects on microbial consumption of dissolved organic carbon in rivers","Journal of Geophysical Research","","","10.1002/2013jg002599","","Rivers receive and process large quantities of terrestrial dissolved organic carbon (DOC). Biologically available (unstable) DOC leached from primary producers may stimulate (i.e., prime) the consu ...","2014","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JY2B4E2C","journalArticle","2008","Mulholland, Patrick J.; Helton, Ashley M.; Poole, Geoffrey C.; Hall, Robert O.; Hamilton, Stephen K.; Peterson, Bruce J.; Tank, Jennifer L.; Ashkenas, Linda R.; Cooper, Lee W.; Dahm, Clifford N.; Dodds, Walter K.; Findlay, Stuart E. G.; Gregory, Stanley V.; Grimm, Nancy B.; Johnson, Sherri L.; McDowell, William H.; Meyer, Judy L.; Valett, H. Maurice; Webster, Jackson R.; Arango, Clay P.; Beaulieu, Jake J.; Beaulieu, Jake J.; Bernot, Melody J.; Burgin, Amy J.; Crenshaw, Chelsea L.; Johnson, Laura T.; Niederlehner, B. R.; O'Brien, Jonathan M.; Potter, Jody D.; Sheibley, Richard W.; Sobota, Daniel J.; Thomas, Suzanne M.","Stream denitrification across biomes and its response to anthropogenic nitrate loading","Nature","","","10.1038/nature06686","","About a quarter of the nitrogen added to the biosphere is exported from rivers to the ocean or inland basins, indicating substantial sinks for nitrogen must exist in the landscape. Data from nitrogen stable isotope tracer experiments across 72 streams suggests that the total uptake of nitrate is related to ecosystem photosynthesis, and that denitrification is related to ecosystem respiration. A stream network model demonstrates that excess nitrate in streams elicits a disproportionate increase in the fraction of nitrate that is exported to receiving waters and reduces the relative role of small versus large streams as nitrate sinks. Anthropogenic addition of bioavailable nitrogen to the biosphere is increasing1,2 and terrestrial ecosystems are becoming increasingly nitrogen-saturated3, causing more bioavailable nitrogen to enter groundwater and surface waters4,5,6. Large-scale nitrogen budgets show that an average of about 20–25 per cent of the nitrogen added to the biosphere is exported from rivers to the ocean or inland basins7,8, indicating that substantial sinks for nitrogen must exist in the landscape9. Streams and rivers may themselves be important sinks for bioavailable nitrogen owing to their hydrological connections with terrestrial systems, high rates of biological activity, and streambed sediment environments that favour microbial denitrification6,10,11. Here we present data from nitrogen stable isotope tracer experiments across 72 streams and 8 regions representing several biomes. We show that total biotic uptake and denitrification of nitrate increase with stream nitrate concentration, but that the efficiency of biotic uptake and denitrification declines as concentration increases, reducing the proportion of in-stream nitrate that is removed from transport. Our data suggest that the total uptake of nitrate is related to ecosystem photosynthesis and that denitrification is related to ecosystem respiration. In addition, we use a stream network model to demonstrate that excess nitrate in streams elicits a disproportionate increase in the fraction of nitrate that is exported to receiving waters and reduces the relative role of small versus large streams as nitrate sinks.","2008","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: 18337819 PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JI98C8M2","journalArticle","2009","Fellman, Jason B.; Hood, Eran; D'Amore, David V.; Edwards, Richard T.; White, Dan; White, Dan; White, Daniel M.","Seasonal changes in the chemical quality and biodegradability of dissolved organic matter exported from soils to streams in coastal temperate rainforest watersheds","Biogeochemistry","","","10.1007/s10533-009-9336-6","","The composition and biodegradability of streamwater dissolved organic matter (DOM) varies with source material and degree of transformation. We combined PARAFAC modeling of fluorescence excitation–emission spectroscopy and biodegradable dissolved organic carbon (BDOC) incubations to investigate seasonal changes in the lability of DOM along a soil-stream continuum in three soil types: bog, forested wetland and upland forest. The percent BDOC ranged from 7 to 38% across all sites, and was significantly greater in soil compared to streamwater in the bog and forested wetland, but not in the upland forest. The percent BDOC also varied significantly over the entire sampling period in soil and streamwater for the bog and forested wetland, as BDOC peaked during the spring runoff and was lowest during the summer months. Moreover, the chemical quality of DOM in wetland soil and streamwater was similar during the spring runoff and fall wet season, as demonstrated by the similar contribution of protein-like fluorescence (sum of tyrosine and tryptophan fluorescence) in soil water and in streams. These findings suggest that the tight coupling between terrestrial and aquatic ecosystems is responsible for the delivery of labile DOM from wetland soils to streams. The contribution of protein-like fluorescence was significantly correlated with BDOC (p < 0.001) over the entire sampling period indicating DOM is an important source of C and N for heterotrophic microbes. Taken together, our findings suggest that the production of protein-rich, labile DOM and subsequent loss in stream runoff might be an important loss of labile C and N from coastal temperate watersheds.","2009","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5NFHM4WB","journalArticle","2013","Murphy, Kathleen R.; Stedmon, Colin A.; Graeber, Daniel; Bro, Rasmus","Fluorescence spectroscopy and multi-way techniques. PARAFAC","Analytical Methods","","","10.1039/c3ay41160e","","PARAllel FACtor analysis (PARAFAC) is increasingly used to decompose fluorescence excitation emission matrices (EEMs) into their underlying chemical components. In the ideal case where fluorescence conforms to Beers Law, this process can lead to the mathematical identification and quantification of independently varying fluorophores. However, many practical and analytical hurdles stand between EEM datasets and their chemical interpretation. This article provides a tutorial in the practical application of PARAFAC to fluorescence datasets, demonstrated using a dissolved organic matter (DOM) fluorescence dataset. A new toolbox for MATLAB is presented to support improved visualisation and sensitivity analyses of PARAFAC models in fluorescence spectroscopy.","2013","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: null PMCID: null","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MCID8FTU","journalArticle","2007","Alexander, Richard B.; Boyer, Elizabeth W.; Smith, Richard A.; Schwarz, Gregory E.; Moore, Richard B.","The Role of Headwater Streams in Downstream Water Quality","Journal of The American Water Resources Association","","","10.1111/j.1752-1688.2007.00005.x","","Abstract: Knowledge of headwater influences on the water-quality and flow conditions of downstream waters is essential to water-resource management at all governmental levels; this includes recent court decisions on the jurisdiction of the Federal Clean Water Act (CWA) over upland areas that contribute to larger downstream water bodies. We review current watershed research and use a water-quality model to investigate headwater influences on downstream receiving waters. Our evaluations demonstrate the intrinsic connections of headwaters to landscape processes and downstream waters through their influence on the supply, transport, and fate of water and solutes in watersheds. Hydrological processes in headwater catchments control the recharge of subsurface water stores, flow paths, and residence times of water throughout landscapes. The dynamic coupling of hydrological and biogeochemical processes in upland streams further controls the chemical form, timing, and longitudinal distances of solute transport to downstream waters. We apply the spatially explicit, mass-balance watershed model SPARROW to consider transport and transformations of water and nutrients throughout stream networks in the northeastern United States. We simulate fluxes of nitrogen, a primary nutrient that is a water-quality concern for acidification of streams and lakes and eutrophication of coastal waters, and refine the model structure to include literature observations of nitrogen removal in streams and lakes. We quantify nitrogen transport from headwaters to downstream navigable waters, where headwaters are defined within the model as first-order, perennial streams that include flow and nitrogen contributions from smaller, intermittent and ephemeral streams. We find that first-order headwaters contribute approximately 70% of the mean-annual water volume and 65% of the nitrogen flux in second-order streams. Their contributions to mean water volume and nitrogen flux decline only marginally to about 55% and 40% in fourth- and higher-order rivers that include navigable waters and their tributaries. These results underscore the profound influence that headwater areas have on shaping downstream water quantity and water quality. The results have relevance to water-resource management and regulatory decisions and potentially broaden understanding of the spatial extent of Federal CWA jurisdiction in U.S. waters.","2007","2023-03-04 18:52:05","2023-03-04 18:52:05","","","","","","","","","","","","","","","","","","","","","","PMID: 22457565 PMCID: 3307624","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
